article_name,country,region,rev_id,article_quality,population
Viljo Pousi,Finland,EUROPE,628766656,Stub,5.529
Jooseppi Kauranen,Finland,EUROPE,628988952,Stub,5.529
Sardar Aurang Zeb Khan,Pakistan,ASIA,629562076,Stub,220.94
Jeremiah Kasambala,Tanzania,AFRICA,629818376,Stub,59.733999999999995
Sofia Hjulgrén,Finland,EUROPE,630396351,Stub,5.529
Vihtori Viitanen,Finland,EUROPE,630396786,Stub,5.529
Tirso Neri,Philippines,ASIA,630704768,Stub,109.581
Cleisthenes (son of Sibyrtius),Greece,EUROPE,631437331,Stub,10.7
Demonax (lawmaker),Greece,EUROPE,631581752,Start,10.7
List of 2009 Canadian incumbents,Canada,NORTHERN AMERICA,632008524,Start,38.19
"Zero, None Of The Above",United Kingdom,EUROPE,632261377,Stub,67.16
Johan Franzén (politician),Finland,EUROPE,632447328,Stub,5.529
Planning Minister of the Palestinian National Authority,Palestinian Territory,ASIA,633612729,Start,5.008
Liu Hongchang,China,ASIA,634032715,B,1402.385
Custos Rotulorum of County Wicklow,Ireland,EUROPE,635240253,Stub,5.003
Custos Rotulorum of County Cork,Ireland,EUROPE,635814126,Stub,5.003
Book:Two Political Biographies,India,ASIA,636911471,Stub,1400.1
Hegesippus (orator),Greece,EUROPE,637801253,Stub,10.7
Pheroze Sethna,India,ASIA,638214719,Stub,1400.1
Ibrahim Kassas,Tunisia,AFRICA,638362866,Stub,11.895999999999999
Dilip Sarkar,India,ASIA,638377138,Stub,1400.1
Gatluak Deng Garang,South Sudan,AFRICA,638571205,Stub,11.194
List of members of the National Assembly of Botswana 2009–14,Botswana,AFRICA,638599355,Start,2.3169999999999997
Aliyu Ibrahim Gebi,Nigeria,AFRICA,639021339,Stub,206.14
Wang Jichang,China,ASIA,639061161,Start,1402.385
Waldemir Moka,Brazil,LATIN AMERICA AND THE CARIBBEAN,639471171,Stub,211.812
Custos Rotulorum of County Waterford,Ireland,EUROPE,640014648,Stub,5.003
Lee Ja-kyum,"Korea, South",ASIA,640214913,Stub,51.781000000000006
Wei Huan-zi,China,ASIA,640826254,Stub,1402.385
O'Higgins Pioche,Chile,LATIN AMERICA AND THE CARIBBEAN,641422326,Stub,19.47
"List of Captains Regent of San Marino, 1500–1700",San Marino,EUROPE,643410335,Start,34.0
Eiler Grubbe,Denmark,EUROPE,643746000,Stub,5.829
Olli Zitting,Finland,EUROPE,644024203,Stub,5.529
Pierre Philibert de Blancheton,France,EUROPE,644041882,Stub,64.94
Luiza Xhuvani,Albania,EUROPE,644399375,Stub,2.838
Diego de Villalba y Toledo,Spain,EUROPE,645225697,Start,47.635
Jabulani Dube,Zimbabwe,AFRICA,645408814,Stub,14.863
Ministry of Economy and Finance (Benin),Benin,AFRICA,647450883,Stub,12.209000000000001
Gheorghe Barbu,Romania,EUROPE,647483021,Stub,19.241
Pan Yunduan,China,ASIA,647832959,Stub,1402.385
Otto Elfving,Finland,EUROPE,647893858,Stub,5.529
List of Sri Lankan politicians,Sri Lanka,ASIA,648048611,Stub,21.936999999999998
Fathema Ismail,India,ASIA,648271473,Stub,1400.1
Rafael Simancas,Spain,EUROPE,650458255,Stub,47.635
Adela Serra-Ty,Philippines,ASIA,650462344,Stub,109.581
Muhammad al-Ghafri,Syria,ASIA,650494773,Stub,19.398
Eneida de León,Uruguay,LATIN AMERICA AND THE CARIBBEAN,651785828,Stub,3.531
Read family of Delaware,United States,NORTHERN AMERICA,651856758,Stub,329.87800000000004
Rossy Barbour,Canada,NORTHERN AMERICA,653527941,Stub,38.19
Reginald Nii Bi Ayibonte,Ghana,AFRICA,653895210,Stub,31.073
Franz Schimmelpfennig von der Ove,Poland,EUROPE,654012510,Stub,38.368
Ville Korhonen (politician),Finland,EUROPE,655031906,Stub,5.529
Onni Hallsten,Finland,EUROPE,655032578,Stub,5.529
Yosia Nadiope of Busoga,Uganda,AFRICA,655390291,Stub,45.74100000000001
María del Socorro Bustamante,Colombia,LATIN AMERICA AND THE CARIBBEAN,655980284,Stub,49.443999999999996
Enrique Pintado,Uruguay,LATIN AMERICA AND THE CARIBBEAN,656352211,Stub,3.531
Instructions of the Year XIII,Uruguay,LATIN AMERICA AND THE CARIBBEAN,656386131,Stub,3.531
Governor of Gagauzia,Moldova,EUROPE,656737492,Stub,3.535
Neferkheperu-her-sekheper,Egypt,AFRICA,657176628,Start,100.803
Abeifaa Karbo,Ghana,AFRICA,658939122,Stub,31.073
Auguste Louis Antoine Fabre,France,EUROPE,659315526,Stub,64.94
Maksud Ibragimov,Tajikistan,ASIA,660214915,Start,9.429
Miguel R. Morales,Nicaragua,LATIN AMERICA AND THE CARIBBEAN,660579437,Stub,6.596
Aljoša Čampara,Bosnia-Herzegovina,EUROPE,660884852,Start,3.281
Walter Simon (philanthropist),Germany,EUROPE,662681733,Start,83.3
Abu Sayyaf (Jordan),Jordan,ASIA,662927043,Start,10.679
Torsten Nielsen,Denmark,EUROPE,663166199,Stub,5.829
Mufti Abdullah,Pakistan,ASIA,663572469,Stub,220.94
William Matthew Harries,South Africa,AFRICA,663617582,Stub,59.628
Maanu Paul,New Zealand,OCEANIA,663783398,Stub,4.987
County governor (Lithuania),Lithuania,EUROPE,663880497,Stub,2.7939999999999996
Burhan Muhammad,Indonesia,ASIA,664532059,Stub,271.73900000000003
Martim Afonso de Brito,Portugal,EUROPE,664669156,Stub,10.255
Gonghe Regency,China,ASIA,664787336,Stub,1402.385
Irshadali Sumra,Kenya,AFRICA,664793790,Stub,53.528
Koufu,China,ASIA,664814622,Stub,1402.385
Political families of Odisha,India,ASIA,664822251,Stub,1400.1
Firmin Aerts,Belgium,EUROPE,666029819,Stub,11.515
Philip Johannes Andries Watermeyer,South Africa,AFRICA,666610075,Start,59.628
Ioan Rus,Romania,EUROPE,666752677,Stub,19.241
Pieter Adrianus Ossewaarde,Netherlands,EUROPE,667194771,Stub,17.467
Christoffel van Swoll,Netherlands,EUROPE,667198201,Start,17.467
National Foundation for Women Legislators,United States,NORTHERN AMERICA,667815878,Start,329.87800000000004
Les Scheininger,Canada,NORTHERN AMERICA,667821864,C,38.19
Patrick Canning,Canada,NORTHERN AMERICA,667873261,Start,38.19
Kalina Krumova,Bulgaria,EUROPE,667906849,Start,6.9270000000000005
Pierre Chatenet,France,EUROPE,668091068,Stub,64.94
Henry Soum,Monaco,EUROPE,668095014,Stub,38.0
Brij Bhushan Mehra,India,ASIA,668258382,Stub,1400.1
Aurelian Pavelescu,Romania,EUROPE,668449610,Stub,19.241
Madut Kon Awan,South Sudan,AFRICA,668830946,Stub,11.194
Taieb Ghafes,Morocco,AFRICA,669266906,Stub,35.952
Teodor Andrault de Langeron,Poland,EUROPE,669301445,Stub,38.368
Ghassan Ashqar,Lebanon,ASIA,669444168,Stub,6.825
Magnús Orri Schram,Iceland,EUROPE,669565720,Stub,368.0
Wusu Sannoh,Sierra Leone,AFRICA,669571173,Stub,7.977
Kuri II of Kanem,Chad,AFRICA,669719757,Stub,16.877
Laroussi Mizouri,Tunisia,AFRICA,669831602,Stub,11.895999999999999
Hashid Abdullah al-Ahmar,Yemen,ASIA,669833212,Stub,29.826
Erkin Alymbekov,Kyrgyzstan,ASIA,669833349,Stub,6.593999999999999
Angelo Staniscia,Italy,EUROPE,669835390,Stub,60.29600000000001
Malik Adnan Hayat Noon,Pakistan,ASIA,669841183,Stub,220.94
Samou Seidou Adambi,Benin,AFRICA,669855022,Stub,12.209000000000001
Porfirio Smerdou,Mexico,LATIN AMERICA AND THE CARIBBEAN,669862709,Stub,127.792
Lise Nordin,Sweden,EUROPE,669869895,Stub,10.377
Fletcher Dulini,Zimbabwe,AFRICA,669981316,Stub,14.863
Krzysztof Abrahamowicz,Poland,EUROPE,669985109,Stub,38.368
Dilaver Bey,Turkey,ASIA,669987106,Stub,83.73700000000001
Horace Mann Thu-Jaune,Madagascar,AFRICA,670134982,Stub,27.691
Murad Quenili,Afghanistan,ASIA,670462475,Stub,38.928000000000004
Bir II of Kanem,Chad,AFRICA,670893206,Stub,16.877
Gerald Hill (politician),Canada,NORTHERN AMERICA,670917017,Stub,38.19
List of Presidents of Alsace,France,EUROPE,670960027,Stub,64.94
John R. O'Dea,Canada,NORTHERN AMERICA,670971940,Stub,38.19
Annaberdi Kakabaýew,Turkmenistan,ASIA,671016281,Stub,6.031000000000001
Salim Yahya al-Kharega,Yemen,ASIA,671023940,Stub,29.826
Faida Mohamed Bakar,Tanzania,AFRICA,671029717,Stub,59.733999999999995
Hosea Kiplagat,Kenya,AFRICA,671032132,Stub,53.528
Michael D. Lett,Grenada,LATIN AMERICA AND THE CARIBBEAN,671047987,Stub,113.0
Than Sina,Cambodia,ASIA,671073599,Stub,15.497
Samuel J. Hefferton,Canada,NORTHERN AMERICA,671122320,Start,38.19
Armen Rustamyan,Armenia,ASIA,671189093,Stub,2.9560000000000004
Abdulahi Ahmed Afrah,Somalia,AFRICA,671338098,Stub,15.892999999999999
Ólafur Garðar Einarsson,Iceland,EUROPE,671338216,Stub,368.0
Badar,Afghanistan,ASIA,671455150,Stub,38.928000000000004
Dušan Švantner,Slovakia,EUROPE,671461616,Stub,5.462000000000001
Óli Þorbjörn Guðbjartsson,Iceland,EUROPE,671462644,Stub,368.0
Mohammed Qalamuddin,Afghanistan,ASIA,671473289,Stub,38.928000000000004
Patrick Bourson,France,EUROPE,671475479,Stub,64.94
Lininy,Madagascar,AFRICA,671483959,Stub,27.691
Azeez Issa Adesiji,Nigeria,AFRICA,671511760,Stub,206.14
Ali al-Bahadili,Iraq,ASIA,671516033,Stub,39.725
Valerian Revenco,Moldova,EUROPE,671637265,Stub,3.535
Presidential Palace Historical Site,Vietnam,ASIA,671868722,Stub,96.209
Viktor Antonov,Russia,EUROPE,671890885,Stub,146.733
Elsa Malpartida,Peru,LATIN AMERICA AND THE CARIBBEAN,671891037,Stub,32.824
Rasoanaivo,Madagascar,AFRICA,671895550,Stub,27.691
Sadio Lamine Sow,Mali,AFRICA,671897239,Stub,20.250999999999998
Narayan Sharma Paudel,Nepal,ASIA,671903264,Stub,29.996
Mataʻiʻulua ‘i Fonuamotu,Tonga,OCEANIA,672119030,Stub,99.0
San Tun,Myanmar,ASIA,672156082,Stub,54.70399999999999
Masahiro Futahashi,Japan,ASIA,672284154,Stub,125.96700000000001
Yannis Moralis (politician),Greece,EUROPE,672515581,Stub,10.7
Macarena Escudero,Argentina,LATIN AMERICA AND THE CARIBBEAN,672547562,Stub,45.376999999999995
André Boulloche,France,EUROPE,672709444,Stub,64.94
Norma Colpari,Argentina,LATIN AMERICA AND THE CARIBBEAN,673393730,Stub,45.376999999999995
Roosevelt Jayjay,Liberia,AFRICA,674487383,Stub,5.058
Joshua Nii Laryea Afotey-Agbo,Ghana,AFRICA,674576443,Stub,31.073
Military Committee of the Congolese Party of Labour,Congo,AFRICA,674702694,Stub,5.518
Ahmad bin Eid al-Thani,Qatar,ASIA,675271208,Stub,2.839
Liga Federal,Uruguay,LATIN AMERICA AND THE CARIBBEAN,675303236,C,3.531
George Samuel Ranglin,Jamaica,LATIN AMERICA AND THE CARIBBEAN,675376529,Stub,2.8089999999999997
Rubén Pellanda,Argentina,LATIN AMERICA AND THE CARIBBEAN,676040670,Stub,45.376999999999995
Raúl Lacabanne,Argentina,LATIN AMERICA AND THE CARIBBEAN,676043559,Stub,45.376999999999995
Juan Carlos Reyes (governor),Argentina,LATIN AMERICA AND THE CARIBBEAN,676044272,Stub,45.376999999999995
Bernardo Bas,Argentina,LATIN AMERICA AND THE CARIBBEAN,676498385,Stub,45.376999999999995
Alexander Dunphy,Canada,NORTHERN AMERICA,676610041,Stub,38.19
Gordon Dawe,Canada,NORTHERN AMERICA,676612108,Stub,38.19
Bijai Prasad,Fiji,OCEANIA,676661990,Stub,896.0
Barton Scotland,Guyana,LATIN AMERICA AND THE CARIBBEAN,676691070,Stub,787.0
Paul Thoms,Canada,NORTHERN AMERICA,676732644,Stub,38.19
Frederick B. Rowe,Canada,NORTHERN AMERICA,676734572,Stub,38.19
Allan Evans (politician),Canada,NORTHERN AMERICA,676782180,Stub,38.19
Asesela Sadole,Fiji,OCEANIA,676841743,Stub,896.0
Luke Woodrow,Canada,NORTHERN AMERICA,676947124,Stub,38.19
William G. Patterson,Canada,NORTHERN AMERICA,677094551,Stub,38.19
Simeon Bouro,Solomon Islands,OCEANIA,677317570,Start,715.0
Salisu Buhari,Nigeria,AFRICA,677435096,Stub,206.14
Hou Zongbin,China,ASIA,677516121,Stub,1402.385
Jorge Zavala,Ecuador,LATIN AMERICA AND THE CARIBBEAN,677523953,Stub,17.511
Harry Quaderer,Liechtenstein,EUROPE,677568976,Stub,39.0
Freeman White (politician),Canada,NORTHERN AMERICA,677724847,Stub,38.19
Leneuoti Matusi,Tuvalu,OCEANIA,677747943,Stub,0.01
Second Toafa Ministry,Tuvalu,OCEANIA,677750304,Start,0.01
William J. MacNeil,Canada,NORTHERN AMERICA,677769770,Stub,38.19
Miguel Cané,Argentina,LATIN AMERICA AND THE CARIBBEAN,677786528,Start,45.376999999999995
Gabriel Antonio Pereira,Uruguay,LATIN AMERICA AND THE CARIBBEAN,677974642,Stub,3.531
Wilhelm Wallbaum,Germany,EUROPE,678140107,Stub,83.3
List of São Toméan politicians,Sao Tome and Principe,AFRICA,678440540,Stub,0.21
Larbi Messari,Morocco,AFRICA,678532348,Start,35.952
Sergey Zorin,Russia,EUROPE,678595657,Stub,146.733
Fakhrul Islam,Pakistan,ASIA,678638092,Stub,220.94
Cora Amalia Castilla,Mexico,LATIN AMERICA AND THE CARIBBEAN,678721991,Stub,127.792
Victor Macky,New Zealand,OCEANIA,679247120,Start,4.987
Mohamed Mohamud Hayd,Somalia,AFRICA,679509452,Stub,15.892999999999999
Sergey Kalyakin,Belarus,EUROPE,679547012,Stub,9.375
List of Slovenian politicians,Slovenia,EUROPE,679559247,Stub,2.103
Mateo Vidal,Uruguay,LATIN AMERICA AND THE CARIBBEAN,679591301,Stub,3.531
John Collins (Canadian politician),Canada,NORTHERN AMERICA,679623758,Stub,38.19
Osea Gavidi,Fiji,OCEANIA,679873929,Start,896.0
Cui Yuying,China,ASIA,680016822,Start,1402.385
Abdul Rahim Ishak,Singapore,ASIA,680036029,Start,5.769
Gumercinda Páez,Panama,LATIN AMERICA AND THE CARIBBEAN,680071857,GA,4.283
Des Dalton,Ireland,EUROPE,680161213,Start,5.003
Claude Pivi,Guinea,AFRICA,680174895,Stub,12.56
Bernardo Grinspun,Argentina,LATIN AMERICA AND THE CARIBBEAN,680370867,Stub,45.376999999999995
Michael Konelios,Marshall Islands,OCEANIA,680614363,Stub,57.0
Malik Khuda Buksh Tiwana,Pakistan,ASIA,680618398,Stub,220.94
Barry Hynes,Canada,NORTHERN AMERICA,680618797,Stub,38.19
"Domonkos II, Archbishop of Esztergom",Hungary,EUROPE,680629551,Stub,9.767000000000001
Veríssimo Aguiar Cabral,Portugal,EUROPE,680680191,Stub,10.255
Federico Policani,Panama,LATIN AMERICA AND THE CARIBBEAN,680722683,Stub,4.283
Alexander Barybin,Russia,EUROPE,680886613,Stub,146.733
Hossam Arafat (politician),Palestinian Territory,ASIA,680933208,Stub,5.008
Book:Australian Prime Ministers,Australia,OCEANIA,680981536,Stub,25.754
Laura Alvarez,United Kingdom,EUROPE,681177706,Stub,67.16
Mirosław Czech,Poland,EUROPE,681605695,Stub,38.368
Poli Karastoyanova,Bulgaria,EUROPE,682145001,Start,6.9270000000000005
Actisanes,Ethiopia,AFRICA,682149007,Stub,114.916
Azhar Cachalia,South Africa,AFRICA,682166816,Stub,59.628
Simona-Alice Man,Romania,EUROPE,682928660,Stub,19.241
Jerônima Mesquita,Brazil,LATIN AMERICA AND THE CARIBBEAN,683020488,Stub,211.812
Jose Solis,Philippines,ASIA,683282915,Stub,109.581
Viriato Fiallo,Dominican Republic,LATIN AMERICA AND THE CARIBBEAN,683417360,Start,10.5
Rodolfo Gabrielli,Argentina,LATIN AMERICA AND THE CARIBBEAN,683631802,Stub,45.376999999999995
Eli Wong,Malaysia,ASIA,683715284,Stub,32.781
Horácio de Matos,Brazil,LATIN AMERICA AND THE CARIBBEAN,683946857,Stub,211.812
Brendan Howard,Canada,NORTHERN AMERICA,684050793,Stub,38.19
Benigno Andrade Flores,Ecuador,LATIN AMERICA AND THE CARIBBEAN,684060626,Stub,17.511
Yury Zaostrovtsev,Russia,EUROPE,684179656,Stub,146.733
Patrick Mutono,Uganda,AFRICA,684295893,Stub,45.74100000000001
Giuseppe Fenaroli Avogadro,Italy,EUROPE,684464777,Stub,60.29600000000001
Afonso Pedro Canga,Angola,AFRICA,684499128,Stub,32.522
Wilhelm von Wedell-Piesdorf,Germany,EUROPE,684525811,Stub,83.3
Hans Graf von Schwerin-Löwitz,Germany,EUROPE,684537777,Stub,83.3
Geoff Muntz,Australia,OCEANIA,684542057,Start,25.754
Martiros Sarukhanyan,Armenia,ASIA,684660655,Stub,2.9560000000000004
Maria del Pilar Hurtado,Colombia,LATIN AMERICA AND THE CARIBBEAN,684804678,Stub,49.443999999999996
Giovanni Bovara,Italy,EUROPE,684821806,Start,60.29600000000001
Zvonimir Mršić,Croatia,EUROPE,684859066,Stub,4.02
Julius Muthamia,Kenya,AFRICA,684879320,Start,53.528
Wilson Callan,Canada,NORTHERN AMERICA,684903534,Stub,38.19
Rod Moores,Canada,NORTHERN AMERICA,684903869,Stub,38.19
Georges Adwan,Lebanon,ASIA,685116600,Stub,6.825
Muhammad Musa al-Amri,Yemen,ASIA,685320824,Start,29.826
Murray Hill Incorporated,United States,NORTHERN AMERICA,685347694,Stub,329.87800000000004
Aníbal Diniz,Brazil,LATIN AMERICA AND THE CARIBBEAN,685720694,Stub,211.812
Slaheddine Ben Mbarek,Tunisia,AFRICA,686050095,Stub,11.895999999999999
Ali Fawzi Rebaine,Algeria,AFRICA,686269631,Stub,44.357
Jochen Ott,Germany,EUROPE,686349441,Stub,83.3
Aleksander Miller,Poland,EUROPE,686375687,Stub,38.368
Sergei Gaidukevich,Belarus,EUROPE,686406513,Stub,9.375
President of Taiwan,Taiwan,ASIA,686619225,Stub,23.61
Siosifa Tuʻitupou Tuʻutafaiva,Tonga,OCEANIA,686777395,Start,99.0
Qandil Cabinet,Egypt,AFRICA,687093229,C,100.803
Ivo Andrić-Lužanski,Bosnia-Herzegovina,EUROPE,687109778,Stub,3.281
Raúl Borrás,Argentina,LATIN AMERICA AND THE CARIBBEAN,687130572,Stub,45.376999999999995
Roque Carranza,Argentina,LATIN AMERICA AND THE CARIBBEAN,687134370,Stub,45.376999999999995
Germán López (politician),Argentina,LATIN AMERICA AND THE CARIBBEAN,687138552,Stub,45.376999999999995
Electoral history of Mohammad Khatami,Iran,ASIA,687159388,Start,84.15
Electoral history of Mahmoud Ahmadinejad,Iran,ASIA,687159391,Start,84.15
Electoral history of Ali Larijani,Iran,ASIA,687159546,Start,84.15
Meng Xiangwei,China,ASIA,687160422,Stub,1402.385
House of Theemuge,Maldives,ASIA,687285060,Stub,541.0
Ata Messan Ajavon Zeus,Togo,AFRICA,687492743,Stub,8.279
John Rogers (Irish lawyer),Ireland,EUROPE,687613810,Stub,5.003
Mustafa Osman Obeid Salim,Sudan,AFRICA,687837173,Stub,43.849
Tito Hoz de Vila,Bolivia,LATIN AMERICA AND THE CARIBBEAN,687882717,Start,11.633
Alexandré Barro Chambrier,Gabon,AFRICA,688145583,Start,2.231
Md. Moniruzzaman Moni,Bangladesh,ASIA,688430552,Stub,169.80900000000003
Benjamin Green Freeman,Liberia,AFRICA,688501356,Stub,5.058
Han Tha Myint,Myanmar,ASIA,688524967,Stub,54.70399999999999
Willem Buys,Netherlands,EUROPE,688537236,Stub,17.467
Joseph Gustave Ernest Allard,Belgium,EUROPE,688590526,Stub,11.515
Takis Papageorgopoulos,Greece,EUROPE,688695923,Stub,10.7
List of 2010 Canadian incumbents,Canada,NORTHERN AMERICA,688697227,Start,38.19
Zhu Haowen,China,ASIA,688763099,Stub,1402.385
Abu Samah Mohd Kassim,Malaysia,ASIA,689248087,Stub,32.781
Stanislaus Okurut,Uganda,AFRICA,689614169,Stub,45.74100000000001
Ilmi Hallsten,Finland,EUROPE,689893447,Stub,5.529
Zhao Dezun,China,ASIA,689932213,Stub,1402.385
Mario Occhiuto,Italy,EUROPE,689944992,Stub,60.29600000000001
Leszek Deptuła,Poland,EUROPE,689950541,Stub,38.368
Sergei Walter,Ukraine,EUROPE,690074710,Start,41.778
"Péter Szilágyi (politician, 1981)",Hungary,EUROPE,690152474,Start,9.767000000000001
Harold Collins (Canadian politician),Canada,NORTHERN AMERICA,690205437,Stub,38.19
R. G. Balan,Malaysia,ASIA,690430012,Stub,32.781
Vítor Aleixo,Portugal,EUROPE,690548204,Stub,10.255
Tuomas Pohjanpalo,Finland,EUROPE,690700220,Stub,5.529
Zhang Chang (Han),China,ASIA,690768683,Stub,1402.385
Lei Chunmei,China,ASIA,690770856,Stub,1402.385
Franci Slak,Slovenia,EUROPE,691045510,Start,2.103
Abdus Sattar Mondal,Bangladesh,ASIA,691201135,Stub,169.80900000000003
Bashir Saadawi,Libya,AFRICA,691346630,Stub,6.891
Igwe Aja-Nwachukwu,Nigeria,AFRICA,691389889,Stub,206.14
Speaker of the Legislative Assembly of the Province of Canada,Canada,NORTHERN AMERICA,691747234,Stub,38.19
Josif Pashko,Albania,EUROPE,692123101,Stub,2.838
Ahmed Jamsheed Mohamed,Maldives,ASIA,692141335,Stub,541.0
Kerfalla Yansané,Guinea,AFRICA,692173141,Stub,12.56
Amadou Konare,Mali,AFRICA,692298286,Stub,20.250999999999998
João Alberto de Souza,Brazil,LATIN AMERICA AND THE CARIBBEAN,692475749,Stub,211.812
Mote Terukaio,Kiribati,OCEANIA,692502721,Stub,125.0
Tekiau Aretaateta,Kiribati,OCEANIA,692502986,Stub,125.0
Marie-José Laloy,Belgium,EUROPE,692684868,Stub,11.515
Émile Marie Laurent,France,EUROPE,693011077,Stub,64.94
Mahamat Hissene,Chad,AFRICA,693055898,Stub,16.877
Rafael Tobias de Aguiar,Brazil,LATIN AMERICA AND THE CARIBBEAN,693179500,Stub,211.812
Phạm Thị Trân Châu,Vietnam,ASIA,693208023,Stub,96.209
David Pacha,Solomon Islands,OCEANIA,693211421,Stub,715.0
Charles Oboth Ofumbi,Uganda,AFRICA,693292931,Start,45.74100000000001
Lu Ruilin,China,ASIA,693336296,Stub,1402.385
Lalbuaia,India,ASIA,693337130,Stub,1400.1
Ian Brossat,France,EUROPE,693338177,Stub,64.94
Yuan Baocheng,China,ASIA,693354280,Stub,1402.385
Pumla Kisosonkole,Uganda,AFRICA,693388584,Start,45.74100000000001
Ivo Nesrovnal,Slovakia,EUROPE,693431430,Stub,5.462000000000001
Pekka Pesola,Finland,EUROPE,693514155,Stub,5.529
Jean Capelle (politician),France,EUROPE,693552292,Stub,64.94
Magnús Norðdahl,Iceland,EUROPE,693573541,Stub,368.0
Li Zaihe,China,ASIA,693661018,Stub,1402.385
Guillermo Montenegro,Argentina,LATIN AMERICA AND THE CARIBBEAN,693714773,Stub,45.376999999999995
Khas-Ochiryn Luvsandorj,Mongolia,ASIA,693721533,Stub,3.361
Michele Columbu,Italy,EUROPE,693748230,Stub,60.29600000000001
Li Sancai,China,ASIA,693817205,C,1402.385
Martin Zephyr,Guyana,LATIN AMERICA AND THE CARIBBEAN,694039903,Stub,787.0
Khadyr Saparlyev,Turkmenistan,ASIA,694084978,Stub,6.031000000000001
Arouna Mama,Benin,AFRICA,694112087,Stub,12.209000000000001
List of Dutch politicians,Netherlands,EUROPE,694313944,B,17.467
Robert Bohn Sikol,Vanuatu,OCEANIA,694335820,C,321.0
Javier Reátegui,Peru,LATIN AMERICA AND THE CARIBBEAN,694337217,Stub,32.824
Mamadou Djigué,Mali,AFRICA,694364743,Stub,20.250999999999998
Nyamyn Jagvaral,Mongolia,ASIA,694557304,Start,3.361
Mahadeo Deole,India,ASIA,694588693,Stub,1400.1
Ngo Dinh Khoi,Vietnam,ASIA,694815600,Stub,96.209
